season;playerName;playerPosition;playerAge;sellerClubName;sellerClubCountry;buyerClubName;buyerClubCountry;transferFee_GBP;playerNationality
2009/2010;Ilion Lika;Keeper;29;KF Vllaznia;Albania;KF Kastrioti;Albania;0;Albania
2009/2010;Vasil Shkurtaj;Centre-Forward;17;Olympiacos U20;Greece;Lazio U19;Italy;0;Albania
2009/2010;Daut Kuqi;Centre-Forward;19;FC Popa;Finland;Lohjan Pallo;Finland;0;Albania
2009/2010;Liridon Krasniqi;Attacking Midfield;18;SK Slavia Prag U19;Czech Republic;Mladá Boleslav;Czech Republic;0;Albania
2009/2010;Walid Cherfa;Left-Back;24;Gimnàstic;Spain;Girona FC;Spain;0;Algeria
2009/2010;Eddire Mokrani;Centre-Forward;18;Elversberg II;Germany;SC Freiburg II;Germany;0;Algeria
2009/2010;James Walker;Centre-Forward;22;Southend United;England;Gillingham FC;England;0;Antigua and Barbuda
2009/2010;Santiago Gentiletti;Centre-Back;25;Gimnasia;Argentina;Argentinos;Argentina;0;Argentina
2009/2010;Gustavo Cabral;Centre-Back;24;River Plate;Argentina;Ars. de Sarandí;Argentina;0;Argentina
2009/2010;Ricardo Noir;Right Wing;22;Boca Juniors;Argentina;Barcelona SC;Ecuador;66000;Argentina
2009/2010;Lucas Landa;Centre-Back;23;Gimnasia;Argentina;Barcelona SC;Ecuador;63000;Argentina
2009/2010;Ismael Óscar Villalba;Centre-Forward;26;Dep. Cuenca;Ecuador;CSD Macará;Ecuador;0;Argentina
2009/2010;Luis Miguel Escalada;Centre-Forward;23;LDU Quito;Ecuador;Dep. Cuenca;Ecuador;0;Argentina
2009/2010;Christian Gómez;Attacking Midfield;35;DC United;United States;Fort Lauderdale;United States;0;Argentina
2009/2010;Jerónimo Costa;Keeper;26;Cañar;Ecuador;Portoviejo;Ecuador;0;Argentina
2009/2010;Javier Robles;Right Midfield;25;CA Vélez;Argentina;Quakes;United States;0;Argentina
2009/2010;Carlos Frontini;Centre-Forward;29;Bragantino;Brazil;Remo;Brazil;0;Argentina
2009/2010;Agustín González;Right Midfield;27;Rafaela;Argentina;Sport. Belgrano;Argentina;0;Argentina
2009/2010;Nicolás Medina;Defensive Midfield;27;O'Higgins;Chile;Tiro Federal;Argentina;0;Argentina
2009/2010;Hakob Loretsyan;Right-Back;15;Banants II;Armenia;Ararat II;Armenia;0;Armenia
2009/2010;Nigel Boogaard;Centre-Back;23;Central Coast Mariners;Australia;Adelaide United;Australia;0;Australia
2009/2010;Adam Griffiths;Centre-Back;30;Shabab;Saudi Arabia;Adelaide United;Australia;0;Australia
2009/2010;Goran Talevski;Right Wing;27;Hume City FC;Australia;Altona Magic Soccer Club;Australia;0;Australia
2009/2010;Michael Theo;Keeper;29;Norwich;England;Brisbane Roar;Australia;0;Australia
2009/2010;Scott Bulloch;Left Wing;25;Perth Glory;Australia;Dand. Thunder;Australia;0;Australia
2009/2010;Kerem Bulut;Centre-Forward;18;Sydney FC U21;Australia;FK Mlada Boleslav U19;Czech Republic;0;Australia
2009/2010;Jason Naidovski;Centre-Forward;20;Newcastle;Australia;Marconi Stallions;Australia;0;Australia
2009/2010;Jade North;Centre-Back;28;Incheon Utd.;Korea, South;Tromsö;Norway;0;Australia
2009/2010;Nathan Sherlock;Centre-Back;20;Central Coast Mariners;Australia;West Sydney Berries;Australia;0;Australia